GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2021
" ""00000""",United States, ,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,21288709000
" ""00000""",United States, ,CAINC1,2,...,Population (persons) 1/,Number of persons,331893745
" ""00000""",United States, ,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,64143
" ""01000""",Alabama,5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,250828813
" ""01000""",Alabama,5,CAINC1,2,...,Population (persons) 1/,Number of persons,5039877
" ""01000""",Alabama,5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,49769
" ""01001""","Autauga, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,2857062
" ""01001""","Autauga, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,59095
" ""01001""","Autauga, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,48347
" ""01003""","Baldwin, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,13079505
" ""01003""","Baldwin, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,239294
" ""01003""","Baldwin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,54659
" ""01005""","Barbour, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1009235
" ""01005""","Barbour, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,24964
" ""01005""","Barbour, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,40428
" ""01007""","Bibb, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,829213
" ""01007""","Bibb, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,22477
" ""01007""","Bibb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,36892
" ""01009""","Blount, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,2517168
" ""01009""","Blount, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,59041
" ""01009""","Blount, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,42634
" ""01011""","Bullock, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,343317
" ""01011""","Bullock, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,10320
" ""01011""","Bullock, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33267
" ""01013""","Butler, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,869601
" ""01013""","Butler, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,18884
" ""01013""","Butler, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,46050
" ""01015""","Calhoun, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,4942877
" ""01015""","Calhoun, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,115972
" ""01015""","Calhoun, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,42621
" ""01017""","Chambers, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1372246
" ""01017""","Chambers, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,34541
" ""01017""","Chambers, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,39728
" ""01019""","Cherokee, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1092799
" ""01019""","Cherokee, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,24996
" ""01019""","Cherokee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,43719
" ""01021""","Chilton, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1890118
" ""01021""","Chilton, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,45274
" ""01021""","Chilton, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,41748
" ""01023""","Choctaw, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,554469
" ""01023""","Choctaw, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,12533
" ""01023""","Choctaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,44241
" ""01025""","Clarke, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1029481
" ""01025""","Clarke, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,22760
" ""01025""","Clarke, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,45232
