Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902,Saint Paul,Minnesota,303176.0
A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,Milwaukee,Wisconsin,563305.0
Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,North Chicago,Illinois,30490.0
AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),North Chicago,Illinois,30490.0
ADM,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902,Chicago,Illinois,2665039.0
Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,San Jose,California,971233.0
ADP,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949,Roseland,New Jersey,6173.0
AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,Arlington,Virginia,234000.0
Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,Columbus,Georgia,202616.0
Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999,Santa Clara,California,126930.0
Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,San Francisco,California,808437.0
Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940,Allentown,Pennsylvania,125094.0
Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,Cambridge,Massachusetts,118488.0
Alaska Air Group,Industrials,Passenger Airlines,"SeaTac, Washington",2016-05-13,766421,1985,SeaTac,Washington,30525.0
Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,Charlotte,North Carolina,897720.0
Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,Pasadena,California,134211.0
Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,Tempe,Arizona,185950.0
Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,Madison,Wisconsin,272903.0
Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931,Northbrook,Illinois,34182.0
Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,Mountain View,California,81059.0
Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,Mountain View,California,81059.0
Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,Richmond,Virginia,229395.0
Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994,Seattle,Washington,749256.0
AMD,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,Santa Clara,California,126930.0
Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,Saint Louis,Missouri,286578.0
American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,Fort Worth,Texas,956709.0
American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,Columbus,Ohio,907971.0
American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,New York,New York,8335897.0
American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,5272,1919,New York,New York,8335897.0
American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,Boston,Massachusetts,650706.0
American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,Camden,New Jersey,70996.0
Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,Minneapolis,Minnesota,425096.0
Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,Thousand Oaks,California,124265.0
Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932,Wallingford,Connecticut,44017.0
Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,Wilmington,Massachusetts,22904.0
Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969,Canonsburg,Pennsylvania,9652.0
APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,1841666,1954,Houston,Texas,2302878.0
Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,Cupertino,California,57856.0
Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967,Santa Clara,California,126930.0
Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004,Santa Clara,California,126930.0
Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927,Rolling Meadows,Illinois,23564.0
Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1267238,1892,Atlanta,Georgia,499127.0
AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983 (1885),Dallas,Texas,1299544.0
Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906,Dallas,Texas,1299544.0
Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982,San Francisco,California,808437.0
AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1997-01-02,866787,1979,Memphis,Tennessee,621056.0
AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,915912,1978,Arlington,Virginia,234000.0
Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,8818,1990,Mentor,Ohio,47044.0
Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,1069183,1993,Scottsdale,Arizona,243050.0
Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017,Houston,Texas,2302878.0
Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",1984-10-31,9389,1880,Broomfield,Colorado,76121.0
Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),Charlotte,North Carolina,897720.0
"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",1983-09-30,701985,1963,Columbus,Ohio,907971.0
Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931,Deerfield,Illinois,18950.0
Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897,Franklin Lakes,New Jersey,10936.0
Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967,Greenwich,Connecticut,63638.0
Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,Omaha,Nebraska,485153.0
Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,1966,Richfield,Minnesota,36710.0
Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,12208,1952,Hercules,California,25920.0
Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976,Minneapolis,Minnesota,425096.0
Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,Cambridge,Massachusetts,118488.0
BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,1364742,1988,New York,New York,8335897.0
Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",2023-09-18,1393818,1985,New York,New York,8335897.0
BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1390777,1784,New York,New York,8335897.0
Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",1957-03-04,12927,1916,Arlington,Virginia,234000.0
Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2009-11-06,1075531,1996,Norwalk,Connecticut,91401.0
